,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
113,113,732.0348899680598,-3.6008785632204567,[0.045],12.795143412664688,0.045,38.27928000766185,[51.09519425],1.0030030009999995,0.006052803118474318,tensor(-223.7507),"[np.float64(0.578321550218959), np.float64(9.148255738433601), np.float64(0.028683145310223177), np.float64(2.474499344200275)]",1.0
114,114,728.1797064950031,-3.6002018270964813,[0.045],12.734374614181808,0.045,38.29400995601988,[51.09519425],1.0030030009999995,0.006076619737256504,tensor(-223.5373),"[np.float64(0.5783766308533674), np.float64(9.148215040109735), np.float64(0.02880810091145728), np.float64(2.4745475847939167)]",1.0
115,115,724.3116863956027,-3.5995393261517936,[0.045],12.673345826833522,0.045,38.30872610526415,[51.09519425],1.0030030009999995,0.006100661441497364,tensor(-223.3231),"[np.float64(0.578431733906309), np.float64(9.148174272926706), np.float64(0.02893276558836958), np.float64(2.474595905872321)]",1.0
116,116,720.435530231292,-3.598889331043293,[0.045],12.612130403633435,0.045,38.32342171451708,[51.09519425],1.0030030009999995,0.006124902396636601,tensor(-223.1082),"[np.float64(0.5784868265704753), np.float64(9.14813346231742), np.float64(0.02905709650978168), np.float64(2.4746442736266965)]",1.0
117,117,716.5552858525825,-3.5982502986516054,[0.045],12.550791676417663,0.045,38.33809120804867,[51.09519425],1.0030030009999995,0.006149319397746476,tensor(-222.8929),"[np.float64(0.578541881123536), np.float64(9.148092630247334), np.float64(0.029181059752652738), np.float64(2.4746926589772387)]",1.0
118,118,712.7329931238627,-3.5976116478556137,[0.045],12.490304676288531,0.045,38.35273000305718,[51.09519425],1.0030030009999995,0.0061738916056019305,tensor(-222.6805),"[np.float64(0.5785968742169779), np.float64(9.148051795655004), np.float64(0.029304628817262743), np.float64(2.4747410369560847)]",1.0
119,119,709.1633701252983,-3.596944167919454,[0.045],12.433737863060399,0.045,38.3672552653893,[51.09519425],1.0030030009999995,0.006198600343442755,tensor(-222.4819),"[np.float64(0.5786515896931017), np.float64(9.148011192607916), np.float64(0.029427170789438743), np.float64(2.4747891087229)]",1.0
120,120,705.6172623226354,-3.596282854161953,[0.045],12.377493535598553,0.045,38.381674328287374,[51.09519425],1.0040060040009995,0.0062234289920288805,tensor(-222.2845),"[np.float64(0.5787060378907154), np.float64(9.147970806844375), np.float64(0.02954875225386098), np.float64(2.474836892495422)]",1.0
121,121,243.991207712682,-4.117053322977778,[0.02],4.666350543780221,0.02,38.33952859915639,[51.09519425],1.0040060040009995,0.006248362645988495,tensor(-55.7802),"[np.float64(0.5787602287291557), np.float64(9.147930625338253), np.float64(0.029669434276425592), np.float64(2.474884404934344)]",1.0
122,122,243.30551799444092,-4.116723979034663,[0.02],4.653637507878611,0.02,38.35260669153613,[51.09519425],1.0040060040009995,0.006271548493761241,tensor(-55.7675),"[np.float64(0.5788101425298335), np.float64(9.147893376474665), np.float64(0.029781644567743053), np.float64(2.474928425226569)]",1.0
123,123,242.66633189293134,-4.116395509803271,[0.02],4.641785640972781,0.02,38.364796507113944,[51.09519425],1.0040060040009995,0.006293156691413965,tensor(-55.7556),"[np.float64(0.5788561924872413), np.float64(9.147858775251429), np.float64(0.029886200567524047), np.float64(2.474969292740093)]",1.0
124,124,242.06910719537186,-4.116067743562384,[0.02],4.630711098022189,0.02,38.37618427330584,[51.09519425],1.0040060040009995,0.0063133411082441715,tensor(-55.7445),"[np.float64(0.5788987523861506), np.float64(9.147826563953227), np.float64(0.029983843284017), np.float64(2.4750073143527853)]",1.0
125,125,241.50973802104073,-4.115740526114093,[0.02],4.6203380386321395,0.02,38.38684803185335,[51.09519425],1.0040060040009995,0.006332240878646535,tensor(-55.7340),"[np.float64(0.5789381603350353), np.float64(9.147796509550194), np.float64(0.03007524417908429), np.float64(2.4750427675476625)]",1.0
